id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
1,Quelle est la capitale du Burkina Faso ?,Ouagadougou,Bobo-Dioulasso,Koudougou,Banfora,A,Ouagadougou est la capitale du Burkina Faso.,Culture générale - Géographie,Moyen
2,Quel est le plus long fleuve d'Afrique ?,Nil,Congo,Niger,Zambèze,A,Le Nil est généralement considéré comme le plus long fleuve d'Afrique.,Culture générale - Géographie,Moyen
3,Qui a écrit 'Le Petit Prince' ?,Antoine de Saint-Exupéry,Victor Hugo,Albert Camus,Marcel Proust,A,Antoine de Saint-Exupéry est l'auteur du Petit Prince.,Culture générale - Littérature,Moyen
4,Combien de minutes y a-t-il dans 2 heures et demie ?,150,120,180,90,A,"2,5 heures = 150 minutes.",Culture générale - Mathématiques,Moyen
5,Quel est le symbole chimique de l'eau ?,H2O,O2,CO2,HO,A,H2O est la formule chimique de l'eau.,Culture générale - Sciences,Moyen
6,Quel instrument mesure la pression atmosphérique ? (v0),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
7,Combien y a-t-il de jours dans une année bissextile ? (v0),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
8,Quel est l'organe principal de la respiration chez l'homme ? (v0),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
9,Quelle langue est majoritairement parlée au Brésil ? (v0),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
10,Qui a peint la 'Joconde' ? (v0),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
11,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
12,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
13,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
14,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
15,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
16,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
17,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
18,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
19,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
20,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
21,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
22,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
23,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
24,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
25,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
26,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
27,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
28,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
29,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
30,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
31,Quel instrument mesure la pression atmosphérique ? (v5),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
32,Combien y a-t-il de jours dans une année bissextile ? (v5),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
33,Quel est l'organe principal de la respiration chez l'homme ? (v5),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
34,Quelle langue est majoritairement parlée au Brésil ? (v5),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
35,Qui a peint la 'Joconde' ? (v5),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
36,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
37,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
38,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
39,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
40,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
41,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
42,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
43,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
44,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
45,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
46,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
47,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
48,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
49,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
50,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
51,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
52,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
53,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
54,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
55,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
56,Quel instrument mesure la pression atmosphérique ? (v10),Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
57,Combien y a-t-il de jours dans une année bissextile ? (v10),366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
58,Quel est l'organe principal de la respiration chez l'homme ? (v10),Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
59,Quelle langue est majoritairement parlée au Brésil ? (v10),Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
60,Qui a peint la 'Joconde' ? (v10),Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
61,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
62,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
63,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
64,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
65,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
66,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
67,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
68,Quel est l'organe principal de la respiration chez l'homme ?,Poumons,Foie,Cœur,Rein,A,Connaissance générale.,Culture générale - Divers,Facile
69,Quelle langue est majoritairement parlée au Brésil ?,Portugais,Espagnol,Français,Anglais,A,Connaissance générale.,Culture générale - Divers,Facile
70,Qui a peint la 'Joconde' ?,Léonard de Vinci,Michel-Ange,Raphaël,Rembrandt,A,Connaissance générale.,Culture générale - Divers,Facile
71,Quel instrument mesure la pression atmosphérique ?,Baromètre,Thermomètre,Anémomètre,Hygromètre,A,Connaissance générale.,Culture générale - Divers,Facile
72,Combien y a-t-il de jours dans une année bissextile ?,366,365,364,360,A,Connaissance générale.,Culture générale - Divers,Facile
